shap.name,shap.Class,shap.subseq,shap.score,shap.thresh
0,0.0,0,0.0,0.0
-4146155784878742489,1.0,"[-0.3761    0.32908   0.7992    0.56414   0.094024 -0.3761   -0.14104
 -0.14104   0.094024  0.094024  0.094024  0.094024  0.094024]",0.2665516035573099,2.127006654233277
8606681009859939263,1.0,"[-0.91163  0.22284  1.3573   0.50646 -1.1953  -2.3297  -2.0461  -0.91163
 -0.34439 -0.34439 -0.91163 -0.91163 -0.34439  0.22284  0.22284  0.50646]",0.260285967781833,2.472007712871684
7068193797484046629,1.0,"[-0.8466  -0.43362 -0.43362 -1.2596  -1.879   -2.292   -2.0855  -1.0531
 -0.64011 -0.8466 ]",0.25888859769690376,0.9895440624344556
-9078981165335032114,1.0,"[-0.91163  0.22284  1.3573   0.50646 -1.1953  -2.3297  -2.0461  -0.91163
 -0.34439 -0.34439 -0.91163 -0.91163 -0.34439  0.22284  0.22284  0.50646
  0.79008  0.79008  0.79008]",0.2459618010745755,2.4710820296960643
-640908376717244466,1.0,"[-0.060775 -0.060775 -0.060775 -0.34439  -0.34439  -0.060775  0.22284
  0.22284  -0.060775 -0.34439 ]",0.23231797653566374,1.8059214878385692
3919899303888335528,1.0,"[-0.3761    0.32908   0.7992    0.56414   0.094024 -0.3761   -0.14104
 -0.14104   0.094024  0.094024  0.094024  0.094024  0.094024  0.32908
  0.56414   0.56414   0.56414   0.56414   0.32908   0.32908   0.56414
  0.32908 ]",0.23078991859149003,2.8678758344993986
8768743051032321222,1.0,"[-0.64011 -0.8466  -0.8466  -0.43362 -0.43362 -1.2596  -1.879   -2.292
 -2.0855  -1.0531  -0.64011 -0.8466  -0.8466 ]",0.22549633926984725,1.7215537008095165
-1979985264606447463,1.0,"[-0.060775 -0.34439   1.9246    3.6263    1.9246    0.50646  -0.62801
 -1.1953   -0.91163   0.22284 ]",0.22348824027026962,1.043999330604429
-4799086143810726026,1.0,"[-1.398   -0.33813  1.075    0.36841 -0.69141 -1.7512  -1.7512  -1.0447
 -0.33813 -0.33813]",0.2215681497545847,1.2936856816446949
7407278789610504074,1.0,"[-0.91163  0.22284  1.3573   0.50646 -1.1953  -2.3297  -2.0461  -0.91163
 -0.34439 -0.34439]",0.2203273560592225,1.2611371219975944
3038974448495720092,2.0,"[ 0.25606   0.43711   0.43711   0.43711   0.43711   0.43711   0.25606
  0.25606   0.25606   0.25606  -0.10604   0.075007  0.25606   0.075007
 -0.10604   0.075007  0.25606   0.61816   0.98026   1.5234    2.0666
  1.8855    1.1613   -0.10604  -0.6492   -1.0113   -1.1923   -1.3734  ]",0.3776027252807673,2.154654122234324
6208673928471622364,2.0,"[ 1.2042    2.5392    2.5392    2.3485    1.9671    1.0135   -0.32149
 -1.0843   -1.4658   -1.4658   -1.0843   -1.2751   -1.2751   -1.2751
 -1.2751   -1.2751   -1.0843   -0.89363  -0.5122   -0.32149  -0.13077
  0.44137   0.44137   0.25065   0.059938  0.44137   0.44137   0.25065 ]",0.37469547098332906,1.5850932294367168
1025454482639031401,2.0,"[ 1.2042    2.5392    2.5392    2.3485    1.9671    1.0135   -0.32149
 -1.0843   -1.4658   -1.4658   -1.0843   -1.2751   -1.2751   -1.2751
 -1.2751   -1.2751   -1.0843   -0.89363  -0.5122   -0.32149  -0.13077
  0.44137   0.44137   0.25065   0.059938]",0.37460047828291987,1.4854907730867668
